;;;;;;;;;
Scenario ID;Case ID;Test Scenario;Type ;Test Case ;Pre Condition ;Steps Description ;Expected Result ;Stasus ;
TS.005;TC.005.004;Pengujian Pengisian Kolom Stok ;Negatif ;Input kolom stok dengan huruf;Mengkases halaman edit produk ;1. Mengakses website POG ;Diminta untuk mengisikan dengan angka dan Tidak berhasil menambahkan produk baru  ;Pass;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.005;TC.005.005;Pengujian Kolom Penambahan Gambar Produk ;Positif ;Input kolom gambar produk sesuai dengan ketentuan ;Mengkases halaman edit produk ;1. Mengakses website POG ;Berhasil menambahkan gambar dan produk berhasil ditambahkan ;Fail ;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit produk ;;;
;;;;;;4. Memasukan informasi tentang produk;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.006;TC.006.001;Pengujian Pengisian Kolom Nomor Telepon ;Negatif ;Input kolom nomor telepon dengan huruf ;Mengakses halaman edit informasi toko;1. Mengakses website POG ;Tidak berhasil mengubah informasi toko ;Fail ;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit informasi toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
;;;;;;5. Tekan tombol Simpan Perubahan ;;;
TS.006;TC.006.002;Pengujian Kolom Penambahan Gambar Logo Toko;Positif ;Input kolom logo gambar toko sesuai dengan ketentuan ;Mengkases halaman edit informasi toko;1. Mengakses website POG ;Berhasil menambahkan logo toko dan informasi tentang toko terupdate;Fail ;
;;;;;;2. Login sebagai admin toko;;;
;;;;;;3. Mengakses halaman edit informasi toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
;;;;;;5. Tekan tombol Simpan Perubahan ;;;
TS.007;TC.007.001;Pengujian Pengisian Kolom Nama Toko ;Negatif ;Input kolom nama toko lebih dari 30 huruf ;Mengakses halaman tambah toko;1. Mengakses website POG ;Tidak berhasil menambahkan toko dan Diminta untuk memasukan kembali seuai dengan nama toko yang benar ;Fail ;
;;;;;;2. Login sebagai super admin ;;;
;;;;;;3. Mengakses halaman tambah toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
;;;;;;5. Tekan tombol Tambah ;;;
;;;;;;;;;
TS.007;TC.006.002;Pengujian Pengisian Kolom Nama Toko ;Negatif ;Input kolom nama toko dengan simbol-simbol ;Mengakses halaman tambah toko;1. Mengakses website POG ;Tidak berhasil menambahkan toko dan Diminta untuk memasukkan kembali dengan format huruf atau angka saja;Fail ;
;;;;;;2. Login sebagai super admin ;;;
;;;;;;3. Mengakses halaman tambah toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.007;TC.007.003;Pengujian Pengisian Kolom Nomor Telepon ;Negatif ;Input kolom nomor telepon dengan huruf ;Mengakses halaman tambah toko ;1. Mengakses website POG ;Tidak berhasil menambahkan toko dan Diminta kembali untuk memasukkan dengan format angka;Fail ;
;;;;;;2. Login sebagai super admin ;;;
;;;;;;3. Mengakses halaman tambah toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.007;TC.007.004;Pengujian Pengisian Kolom Informasi Dalam Penambahan Toko;Negatif ;Tidak  menginputkan informasi apapun di semua kolom ;Mengakses halaman tambah toko ;1. Mengakses website POG ;Tidak berhasil menambahkan toko dan Diminta untuk memasukan semua informasi tentang toko;Pass;
;;;;;;2. Login sebagai super admin ;;;
;;;;;;3. Mengakses halaman tambah toko;;;
;;;;;;4. Memasukan informasi tentang toko;;;
;;;;;;5. Tekan tombol Tambah ;;;
TS.007;TC.007.005;Pengujian Pengisian Kolom Nomor Telepon ;Negatif ;Input kolom nomor telepon dengan lebih dari  12 angka ;Mengakses halaman tambah toko ;1. Mengakses website POG ;Tidak berhasil menambahkan toko dan Diminta untuk memasukkan kembali dengan batas hingga 12 angka saja ;Fail ;
